time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/advantages,train/std,train/entropy_loss,train/loss,train/returns,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction
667648,9232,72,326,-2.8092463599999995,102.0,-0.008025269470817876,0.0,0.033381957560777664,0.36024320125579834,-1.591669999435544,0.049101028591394424,-0.662724494934082,0.07641521244659089,0.2,3250,0.02244517,0.0003,0.205224609375
669696,9260,72,327,-2.81371918,102.0,-0.004215180280152708,0.0,-0.03724398463964462,0.35511767864227295,-1.534774474054575,0.02126675471663475,-0.7171016335487366,0.07618399146012962,0.2,3260,0.020145357,0.0003,0.188330078125
671744,9288,72,328,-2.79943512,102.0,-0.005452437231724616,0.0,0.024774495512247086,0.357718288898468,-1.522965506836772,0.043293144553899765,-0.6451612710952759,0.07540736818336882,0.2,3270,0.012652937,0.0003,0.1640625
673792,9316,72,329,-2.79271141,102.0,-0.008242549824353773,0.0,-0.037517547607421875,0.3547384738922119,-1.5188989233225585,0.02494671195745468,-0.7083327770233154,0.07284974239300937,0.2,3280,0.02828457,0.0003,0.210107421875
675840,9343,72,330,-2.79691663,102.0,-0.007605829712701961,1.1920928955078125e-07,-0.05932147800922394,0.3524109721183777,-1.4876939330250025,0.03872385248541832,-0.7330560684204102,0.07748496775748208,0.2,3290,0.021268938,0.0003,0.191552734375
677888,9371,72,331,-2.7987221800000004,102.0,-0.005744950621738099,0.0,0.008810280822217464,0.35221096873283386,-1.4725249692797662,0.06216011196374893,-0.6685225963592529,0.07465029854793101,0.2,3300,0.014454825,0.0003,0.185986328125
679936,9399,72,332,-2.8075929299999998,102.0,-0.009225737197266427,0.0,-0.10512121021747589,0.3505496680736542,-1.459394808486104,0.03715908154845238,-0.7825070023536682,0.0723004228901118,0.2,3310,0.016946904,0.0003,0.217529296875
681984,9427,72,333,-2.82066747,102.0,-0.0016052768522058613,0.0,0.012776120565831661,0.3499687910079956,-1.4513277228921653,0.21050317585468292,-0.7019520401954651,0.08343961234204471,0.2,3320,0.014293036,0.0003,0.172900390625
684032,9455,72,334,-2.8061698900000005,102.0,-0.010421076654165518,-1.1920928955078125e-07,0.07285696268081665,0.34655091166496277,-1.4293934758752584,0.04462701827287674,-0.6800411939620972,0.08365700991125777,0.2,3330,0.017849952,0.0003,0.20517578125
686080,9482,72,335,-2.8078463300000003,102.0,-0.00950318682444049,1.1920928955078125e-07,-0.02685503289103508,0.34649646282196045,-1.4112214226275683,0.04038931801915169,-0.7557315826416016,0.08066497631371021,0.2,3340,0.016884,0.0003,0.206298828125
688128,9510,72,336,-2.80565509,102.0,-0.0037375989501015282,0.0,0.027575915679335594,0.3446272015571594,-1.3965818211436272,0.00896109826862812,-0.6706998348236084,0.0796477010997478,0.2,3350,0.0126210805,0.0003,0.17685546875
690176,9538,72,337,-2.79567881,102.0,-0.0035881014438928103,0.0,0.003953553736209869,0.34275496006011963,-1.3732154801487924,0.021026749163866043,-0.67521733045578,0.07741120657883585,0.2,3360,0.010805409,0.0003,0.16572265625
692224,9566,72,338,-2.7803367900000002,102.0,-0.008938395376026165,0.0,-0.062243178486824036,0.3412990868091583,-1.3547359358519315,0.016530513763427734,-0.7145756483078003,0.07612163383164443,0.2,3370,0.017118823,0.0003,0.18505859375
694272,9593,72,339,-2.77862387,102.0,-0.008016095242055599,0.0,0.03648236766457558,0.33936557173728943,-1.3347823105752468,-0.007407469674944878,-0.6319535970687866,0.07341445181518794,0.2,3380,0.017550278,0.0003,0.177099609375
696320,9621,72,340,-2.75665064,102.0,-0.0028516426886199043,0.0,-0.01508898101747036,0.33995428681373596,-1.3265089482069015,0.06564616411924362,-0.7118796706199646,0.07584653027588502,0.2,3390,0.018444963,0.0003,0.151806640625
698368,9649,72,341,-2.760164380000001,102.0,-0.009221248091489543,-1.1920928955078125e-07,0.015697304159402847,0.3395113945007324,-1.330396793037653,0.023466166108846664,-0.6694667339324951,0.07303115219692699,0.2,3400,0.023061434,0.0003,0.189892578125
700416,9677,72,342,-2.7509214500000003,102.0,-0.00589496320753824,0.0,0.03961455076932907,0.33861592411994934,-1.3236460283398628,0.005197910591959953,-0.6749269366264343,0.07984822181169875,0.2,3410,0.013419635,0.0003,0.18857421875
702464,9704,72,343,-2.7481460500000003,102.0,-0.009619020314858062,0.0,0.030672986060380936,0.3383787274360657,-1.316548754274845,-0.014806337654590607,-0.6564937233924866,0.07315082304994576,0.2,3420,0.022042898,0.0003,0.21279296875
704512,9732,72,344,-2.7313052499999997,102.0,-0.007204602126876125,0.0,-0.025283372029662132,0.33757925033569336,-1.3092910524457693,0.012779619544744492,-0.719499409198761,0.0769155855232384,0.2,3430,0.015279034,0.0003,0.197412109375
706560,9760,72,345,-2.74175863,102.0,-0.0055664317595073955,0.0,0.02384469285607338,0.3374859094619751,-1.301661152765155,0.033148426562547684,-0.7016022801399231,0.07652472538757138,0.2,3440,0.014670873,0.0003,0.18427734375
708608,9788,72,346,-2.7238328399999996,102.0,-0.0031381883287394884,0.0,-0.0014591943472623825,0.3380966782569885,-1.3038115561008454,0.03174474090337753,-0.7318464517593384,0.0829862289247103,0.2,3450,0.01374632,0.0003,0.157275390625
710656,9815,72,347,-2.72464205,102.0,-0.006325451789598447,0.0,0.03849349543452263,0.33342963457107544,-1.282818777859211,0.038007766008377075,-0.6837945580482483,0.07506453469977714,0.2,3460,0.026473831,0.0003,0.229736328125
712704,9843,72,348,-2.7171719100000007,102.0,-0.006128152042219881,1.1920928955078125e-07,0.0028848350048065186,0.33285456895828247,-1.2489389013499022,0.0946904793381691,-0.6865870356559753,0.0721858661971055,0.2,3470,0.015341121,0.0003,0.21064453125
714752,9871,72,349,-2.72322988,102.0,-0.00323627631587442,0.0,0.010035093873739243,0.33245033025741577,-1.2413561344146729,-0.0029524359852075577,-0.6652220487594604,0.07395679273759015,0.2,3480,0.017008979,0.0003,0.187353515625
716800,9899,72,350,-2.7247828,102.0,-0.006616094680794049,0.0,-0.0786968395113945,0.3318418562412262,-1.235310211405158,0.07200513780117035,-0.7482197880744934,0.07470050216652453,0.2,3490,0.021721052,0.0003,0.23466796875
718848,9926,72,351,-2.7321711499999997,102.0,-0.006480717106023803,0.0,-0.027260374277830124,0.33130505681037903,-1.2285040996968746,0.022113293409347534,-0.7103309035301208,0.07080329879536293,0.2,3500,0.01490393,0.0003,0.20927734375
720896,9954,72,352,-2.72670987,102.0,-0.0019877304701367395,0.0,-0.03642769530415535,0.3305995464324951,-1.2212985455989838,0.006459553726017475,-0.7394513487815857,0.07681032205582597,0.2,3510,0.013540705,0.0003,0.18330078125
722944,9982,72,353,-2.7362961900000005,102.0,-0.00749625806347467,0.0,0.0405968576669693,0.32800135016441345,-1.2005263514816762,-0.010686878114938736,-0.6500748991966248,0.07360413680435159,0.2,3520,0.021597065,0.0003,0.204052734375
